column,dtype,missing_count,missing_rate,unique_count,sample_values,everyDB2_doc_meaning,inferred_nan_type,suggested_handling,reason,confidence
fukasyokinbefore1,int64,0,0.0,1,"0, 0, 0",付加賞金変更前1着,N,keep_nan_candidate,欠損なし - 完全データ,high
fukasyokinbefore2,int64,0,0.0,4,"0, 0, 0",付加賞金変更前2着,N,keep_nan_candidate,欠損なし - 完全データ,high
fukasyokinbefore3,int64,0,0.0,6,"0, 0, 0",付加賞金変更前3着,N,keep_nan_candidate,欠損なし - 完全データ,high
hassotime,int64,0,0.0,99,"1001, 1001, 1001",発走時刻,N,keep_nan_candidate,欠損なし - 完全データ,high
hassotimebefore,int64,0,0.0,33,"1000, 1000, 1000",発走時刻変更前,N,keep_nan_candidate,欠損なし - 完全データ,high
torokutosu,int64,0,0.0,14,"7, 7, 7",登録頭数,N,keep_nan_candidate,欠損なし - 完全データ,high
syussotosu,int64,0,0.0,14,"7, 7, 7",出走頭数,N,keep_nan_candidate,欠損なし - 完全データ,high
tenkocd,int64,0,0.0,4,"2, 2, 2",天候コード,N,keep_nan_candidate,欠損なし - 完全データ,high
sibababacd,int64,0,0.0,5,"0, 0, 0",芝馬場状態コード,N,keep_nan_candidate,欠損なし - 完全データ,high
dirtbabacd,int64,0,0.0,5,"2, 2, 2",ダート馬場状態コード,N,keep_nan_candidate,欠損なし - 完全データ,high
syogaimiletime,int64,0,0.0,1,"0, 0, 0",障害マイルタイム,N,keep_nan_candidate,欠損なし - 完全データ,high
corner1,int64,0,0.0,4,"3, 3, 3",コーナー数1,N,keep_nan_candidate,欠損なし - 完全データ,high
syukaisu1,int64,0,0.0,3,"1, 1, 1",周回数1,N,keep_nan_candidate,欠損なし - 完全データ,high
jyuni1,float64,45437,100.0,1,(all NaN),"1コーナー通過順位 (RA, レース後)",D,leakage_or_drop_candidate,レース後情報. 実害ないが削除推奨,high
corner2,int64,0,0.0,4,"4, 4, 4",コーナー数2,N,keep_nan_candidate,欠損なし - 完全データ,high
syukaisu2,int64,0,0.0,3,"1, 1, 1",周回数2,N,keep_nan_candidate,欠損なし - 完全データ,high
jyuni2,float64,45437,100.0,1,(all NaN),"2コーナー通過順位 (RA, レース後)",D,leakage_or_drop_candidate,レース後情報. 実害ないが削除推奨,high
corner3,int64,0,0.0,3,"0, 0, 0",コーナー数3,N,keep_nan_candidate,欠損なし - 完全データ,high
syukaisu3,int64,0,0.0,3,"0, 0, 0",周回数3,N,keep_nan_candidate,欠損なし - 完全データ,high
jyuni3,float64,45437,100.0,1,(all NaN),"3コーナー通過順位 (RA, レース後)",D,leakage_or_drop_candidate,レース後情報. 実害ないが削除推奨,high
corner4,int64,0,0.0,2,"0, 0, 0",コーナー数4,N,keep_nan_candidate,欠損なし - 完全データ,high
syukaisu4,int64,0,0.0,3,"0, 0, 0",周回数4,N,keep_nan_candidate,欠損なし - 完全データ,high
jyuni4,float64,45437,100.0,1,(all NaN),"4コーナー通過順位 (RA, レース後)",D,leakage_or_drop_candidate,レース後情報. 実害ないが削除推奨,high
race_date,datetime64[ns],0,0.0,106,"2024-07-13 00:00:00, 2024-07-13 00:00:00, 2024-07-13 00:00:00",レース日付,N,keep_nan_candidate,欠損なし - 完全データ,high
race_id,object,0,0.0,3327,"2024071310030501, 2024071310030501, 2024071310030501",レースID,N,keep_nan_candidate,欠損なし - 完全データ,high
surface,object,0,0.0,2,"dirt, dirt, dirt",芝/ダート (computed),N,keep_nan_candidate,欠損なし - 完全データ,high
track_condition_code,int64,0,0.0,4,"2, 2, 2",馬場状態コード (computed),N,keep_nan_candidate,欠損なし - 完全データ,high
wakuban,int64,0,0.0,8,"1, 2, 3",枠番,N,keep_nan_candidate,欠損なし - 完全データ,high
umaban,int64,0,0.0,18,"1, 2, 3",馬番,N,keep_nan_candidate,欠損なし - 完全データ,high
kettonum,object,0,0.0,11497,"2022102776, 2022110088, 2022100683",血統登録番号,N,keep_nan_candidate,欠損なし - 完全データ,high
bamei,object,0,0.0,11497,"マルモリマジック, オトメナシャチョウ, ラッキーキャット",馬名,E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
umakigocd,int64,0,0.0,6,"0, 6, 0",馬記号コード,N,keep_nan_candidate,欠損なし - 完全データ,high
sexcd,int64,0,0.0,3,"2, 2, 2",性別コード,N,keep_nan_candidate,欠損なし - 完全データ,high
hinsyucd,int64,0,0.0,1,"1, 1, 1",品種コード,N,keep_nan_candidate,欠損なし - 完全データ,high
keirocd,int64,0,0.0,8,"3, 3, 1",毛色コード,N,keep_nan_candidate,欠損なし - 完全データ,high
barei,int64,0,0.0,10,"2, 2, 2",馬齢,N,keep_nan_candidate,欠損なし - 完全データ,high
tozaicd,int64,0,0.0,4,"2, 2, 2",東西所属コード,N,keep_nan_candidate,欠損なし - 完全データ,high
chokyosicode,object,0,0.0,227,"01003, 00427, 01032",調教師コード,N,keep_nan_candidate,欠損なし - 完全データ,high
chokyosiryakusyo,object,0,0.0,227,"川村禎彦, 森秀行, 大根田裕",調教師名略称,E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
banusicode,object,0,0.0,1495,"970031, 756800, 018700",馬主コード,N,keep_nan_candidate,欠損なし - 完全データ,high
banusiname,object,0,0.0,1500,"山下　繁美, ミキハウスＨＫサービス, ロイヤルパーク",馬主名,E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
fukusyoku,float64,45437,100.0,1,(all NaN),服色標示 (SE),G,leakage_or_drop_candidate,100% NaN. 削除推奨,high
reserved1,float64,45437,100.0,1,(all NaN),予備1 (SE),G,leakage_or_drop_candidate,100% NaN. 削除推奨,high
futan,int64,0,0.0,22,"540, 550, 550",負担重量,N,keep_nan_candidate,欠損なし - 完全データ,high
futanbefore,int64,0,0.0,10,"0, 0, 0",変更前負担重量,N,keep_nan_candidate,欠損なし - 完全データ,high
blinker,int64,0,0.0,2,"0, 0, 0",ブリンカー区分,N,keep_nan_candidate,欠損なし - 完全データ,high
reserved2,int64,0,0.0,1,"0, 0, 0",予備2 (SE),N,keep_nan_candidate,欠損なし - 完全データ,high
kisyucode,object,0,0.0,191,"01208, 01154, 01125",騎手コード,N,keep_nan_candidate,欠損なし - 完全データ,high
kisyucodebefore,int64,0,0.0,44,"0, 0, 0",変更前騎手コード,N,keep_nan_candidate,欠損なし - 完全データ,high
kisyuryakusyo,object,0,0.0,191,"田口貫太, 松若風馬, 国分優作",騎手名略称,E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
kisyuryakusyobefore,object,0,0.0,44,(all NaN),変更前騎手名略称,E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
minaraicd,int64,0,0.0,6,"1, 0, 0",騎手見習コード,N,keep_nan_candidate,欠損なし - 完全データ,high
minaraicdbefore,int64,0,0.0,5,"0, 0, 0",変更前騎手見習コード,N,keep_nan_candidate,欠損なし - 完全データ,high
bataijyu,float64,0,0.0,123,"460.0, 480.0, 388.0",馬体重(kg),N,keep_nan_candidate,欠損なし - 完全データ,high
zogenfugo,object,45437,100.0,1,(all NaN),"増減符号 (SE, zogensaで代替済み)",G,leakage_or_drop_candidate,100% NaN. 削除推奨,high
zogensa,float64,4832,10.63,40,"0.0, 6.0, 6.0",増減差,A,keep_nan_candidate,初出走=zogensa 999→NaN,high
chakusacdp,float64,45437,100.0,1,(all NaN),"+着差コード (SE, レース後)",D,leakage_or_drop_candidate,レース後情報. 実害ないが削除推奨,high
chakusacdpp,float64,45437,100.0,1,(all NaN),"++着差コード (SE, レース後)",D,leakage_or_drop_candidate,レース後情報. 実害ないが削除推奨,high
odds,float64,0,0.0,3223,"21.4, 3.7, 60.4",単勝オッズ (tanodds上書き済み),N,keep_nan_candidate,欠損なし - 完全データ,high
reserved3,int64,0,0.0,1,"0, 0, 0",予備3 (SE),N,keep_nan_candidate,欠損なし - 完全データ,high
reserved4,int64,0,0.0,1,"0, 0, 0",予備4 (SE),N,keep_nan_candidate,欠損なし - 完全データ,high
kettonum1,int64,0,0.0,3823,"2022104957, 2022104957, 2022104957",血統登録番号(父),N,keep_nan_candidate,欠損なし - 完全データ,high
bamei1,float64,45437,100.0,1,(all NaN),"相手馬1名 (SE, 同着)",G,leakage_or_drop_candidate,100% NaN. 削除推奨,high
kettonum2,int64,0,0.0,14,"0, 0, 0",血統登録番号(母父),N,keep_nan_candidate,欠損なし - 完全データ,high
bamei2,float64,45437,100.0,1,(all NaN),"相手馬2名 (SE, 同着)",G,leakage_or_drop_candidate,100% NaN. 削除推奨,high
kettonum3,int64,0,0.0,1,"0, 0, 0",血統登録番号(母母父),N,keep_nan_candidate,欠損なし - 完全データ,high
bamei3,float64,45437,100.0,1,(all NaN),"相手馬3名 (SE, 同着)",G,leakage_or_drop_candidate,100% NaN. 削除推奨,high
dmkubun,int64,0,0.0,1,"3, 3, 3",マイニング区分,N,keep_nan_candidate,欠損なし - 完全データ,high
dmgosap,int64,0,0.0,101,"52, 51, 52",マイニング誤差+,N,keep_nan_candidate,欠損なし - 完全データ,high
dmgosam,int64,0,0.0,101,"10, 7, 10",マイニング誤差-,N,keep_nan_candidate,欠損なし - 完全データ,high
tanodds,float64,0,0.0,3223,"21.4, 3.7, 60.4",単勝オッズ(スナップショット),N,keep_nan_candidate,欠損なし - 完全データ,high
fukuoddslow,float64,0,0.0,592,"5.6, 1.2, 13.5",複勝オッズ下限,N,keep_nan_candidate,欠損なし - 完全データ,high
tanninki,int64,0,0.0,18,"6, 2, 7",単勝人気順,N,keep_nan_candidate,欠損なし - 完全データ,high
distance_bin,object,0,0.0,4,"sprint, sprint, sprint",距離帯カテゴリ,N,keep_nan_candidate,欠損なし - 完全データ,high
grade_code,object,0,0.0,6,"X, X, X",グレードコード,N,keep_nan_candidate,欠損なし - 完全データ,high
effective_jyokencd,object,0,0.0,6,"703, 703, 703",有効条件コード,N,keep_nan_candidate,欠損なし - 完全データ,high
class_level_current,float64,0,0.0,8,"1.0, 1.0, 1.0",現在クラスレベル,N,keep_nan_candidate,欠損なし - 完全データ,high
class_level_source_flag,float64,0,0.0,2,"1.0, 1.0, 1.0",クラスレベルソース,N,keep_nan_candidate,欠損なし - 完全データ,high
class_bucket,object,0,0.0,8,"maiden, maiden, maiden",クラスバケット名,N,keep_nan_candidate,欠損なし - 完全データ,high
class_regime_after_202406,float64,0,0.0,2,"1.0, 1.0, 1.0",2024/6以降制度フラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
field_size,int64,0,0.0,14,"7, 7, 7",フィールドサイズ,N,keep_nan_candidate,欠損なし - 完全データ,high
popularity_rank_fallback_used,float64,0,0.0,1,"0.0, 0.0, 0.0",人気順フォールバック使用,N,keep_nan_candidate,欠損なし - 完全データ,high
popularity_rank,float64,0,0.0,18,"6.0, 2.0, 7.0",人気順,N,keep_nan_candidate,欠損なし - 完全データ,high
draw_ratio,float64,0,0.0,111,"0.0, 0.16666666666666666, 0.3333333333333333",枠順比率,N,keep_nan_candidate,欠損なし - 完全データ,high
frame_number,int64,0,0.0,8,"1, 2, 3",枠番(数値),N,keep_nan_candidate,欠損なし - 完全データ,high
blinker_on,float64,0,0.0,2,"0.0, 0.0, 0.0",ブリンカー装着フラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
weight_change_known,float64,0,0.0,2,"1.0, 1.0, 1.0",体重変化既知フラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
weight_change_missing_flag,float64,0,0.0,2,"0.0, 0.0, 0.0",体重変化不明フラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
weight_change_abs_capped,float64,4864,10.7,31,"0.0, 6.0, 6.0",体重変化絶対値(cap),A,keep_nan_candidate,zogensa依存. 初出走=NaN,high
weight_change_zone,float64,4864,10.7,5,"1.0, 2.0, 2.0",体重変化ゾーン,A,missing_flag_candidate,初出走=NaN. NaN自体が初出走信号,high
weight_change_ratio,float64,4864,10.7,1299,"0.0, 1.25, 1.5463917525773196",体重変化率,A,keep_nan_candidate,初出走=NaN,high
weight_diff_from_mean,float64,0,0.0,6220,"10.285714285714278, 30.285714285714278, -61.71428571428572",平均体重との差分,N,keep_nan_candidate,欠損なし - 完全データ,high
odds_rank,int64,0,0.0,18,"6, 2, 7",オッズ順位,N,keep_nan_candidate,欠損なし - 完全データ,high
odds_drop_rate_60_10,float64,0,0.0,27026,"-0.2515337423312882, 0.11363636363636373, -0.28108108108108104",オッズ下落率(60->10分),N,keep_nan_candidate,欠損なし - 完全データ,high
odds_drop_rate_30_10,float64,0,0.0,25942,"-0.16571428571428562, 0.0, -0.1048951048951049",オッズ下落率(30->10分),N,keep_nan_candidate,欠損なし - 完全データ,high
odds_velocity,float64,0,0.0,45436,"0.0408070584652812, -0.006490940514240952, -0.007758277874512733",オッズ変化速度,N,keep_nan_candidate,欠損なし - 完全データ,high
odds_volatility,float64,47,0.1,43405,"17.70240352580118, 0.3238340592871796, 16.1010318359886",オッズボラティリティ,C,keep_nan_candidate,直前オッズ時系列が必要. 欠損=時系列なし,high
popularity_change_30_10,float64,0,0.0,14,"-1.0, 0.0, 0.0",人気変化(30->10分),N,keep_nan_candidate,欠損なし - 完全データ,high
odds_acceleration,float64,0,0.0,16964,"0.10499999999999995, 0.01666666666666668, 0.028333333333333377",オッズ加速度,N,keep_nan_candidate,欠損なし - 完全データ,high
odds_direction_consistency,float64,0,0.0,45432,"0.3282533610513401, 0.17841752927809887, 0.45847635066254355",オッズ方向一貫性,N,keep_nan_candidate,欠損なし - 完全データ,high
overround,float64,0,0.0,3327,"0.27565204472306126, 0.27565204472306126, 0.27565204472306126",オーバーラウンド,N,keep_nan_candidate,欠損なし - 完全データ,high
p_market_win_adj,float64,0,0.0,45119,"0.03663144049031136, 0.2118683314845035, 0.012978689180342106",市場勝率調整値,N,keep_nan_candidate,欠損なし - 完全データ,high
market_entropy,float64,0,0.0,3327,"1.3269601825259727, 1.3269601825259727, 1.3269601825259727",市場エントロピー,N,keep_nan_candidate,欠損なし - 完全データ,high
odds_skewness,float64,0,0.0,3327,"1.9141981200874867, 1.9141981200874867, 1.9141981200874867",オッズ歪度,N,keep_nan_candidate,欠損なし - 完全データ,high
implied_prob_hhi,float64,0,0.0,3327,"0.3715511524763005, 0.3715511524763005, 0.3715511524763005",暗示確率HHI,N,keep_nan_candidate,欠損なし - 完全データ,high
difficulty_score,float64,0,0.0,3327,"0.026519213707418415, 0.026519213707418415, 0.026519213707418415",レース難易度スコア,N,keep_nan_candidate,欠損なし - 完全データ,high
rl_log_odds_entropy,float64,0,0.0,3327,"1.3269601825259727, 1.3269601825259727, 1.3269601825259727",RL対数オッズエントロピー,N,keep_nan_candidate,欠損なし - 完全データ,high
rl_odds_dispersion,float64,0,0.0,3327,"19.86644694669166, 19.86644694669166, 19.86644694669166",RLオッズ分散,N,keep_nan_candidate,欠損なし - 完全データ,high
rl_top1_odds,float64,0,0.0,49,"1.4, 1.4, 1.4",RL1位オッズ,N,keep_nan_candidate,欠損なし - 完全データ,high
rl_top3_odds_gap,float64,0,0.0,310,"7.799999999999999, 7.799999999999999, 7.799999999999999",RL上位3頭オッズギャップ,N,keep_nan_candidate,欠損なし - 完全データ,high
rl_favorite_rank_gap,float64,0,0.0,981,"0.9718605830289659, 0.9718605830289659, 0.9718605830289659",RL人気順位ギャップ,N,keep_nan_candidate,欠損なし - 完全データ,high
rl_n_horses,float64,0,0.0,14,"7.0, 7.0, 7.0",RL出走頭数,N,keep_nan_candidate,欠損なし - 完全データ,high
rl_favorite_in_wide_top1,float64,0,0.0,2,"1.0, 1.0, 1.0",RL1番人気ワイド1位フラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
rl_trio_overlap,float64,0,0.0,3,"3.0, 3.0, 3.0",RL三連複重複数,N,keep_nan_candidate,欠損なし - 完全データ,high
rl_market_consistency,float64,0,0.0,2,"1.0, 1.0, 1.0",RL市場一貫性,N,keep_nan_candidate,欠損なし - 完全データ,high
rl_trio_odds_ratio,float64,389,0.86,3297,"0.8027796088491684, 0.8027796088491684, 0.8027796088491684",三連複オッズ比率,A,keep_nan_candidate,trio oddsなし,high
rl_wide_harville_ratio,float64,213,0.47,3311,"0.048312294066276996, 0.048312294066276996, 0.048312294066276996",ワイドHarville比率,A,keep_nan_candidate,wide odds計算不可,high
blood_surface_wr,float64,14670,32.29,226,"0.08333333333333333, 0.08333333333333333, 0.07692307692307693",血統芝ダ別勝率,F,keep_nan_candidate,芝ダ別血統出走実績なし,high
blood_distance_wr,float64,23664,52.08,187,"0.08333333333333333, 0.08333333333333333, 0.07692307692307693",血統距離別勝率,F,keep_nan_candidate,距離別血統出走実績なし,high
blood_condition_wr,float64,9879,21.74,218,"0.08333333333333333, 0.08333333333333333, 0.08333333333333333",血統条件別勝率,F,keep_nan_candidate,条件別血統出走実績なし,high
blood_total_wr,float64,4877,10.73,272,"0.08333333333333333, 0.08333333333333333, 0.08333333333333333",血統全体勝率,F,keep_nan_candidate,血統出走実績なし,high
blood_prize_log,float64,12285,27.04,5143,"9.798182590890704, 9.305741456739435, 8.881975184248867",血統賞金log,F,keep_nan_candidate,血統出走実績なし,high
blood_keito_cd,object,0,0.0,1,"unknown, unknown, unknown",血統系統コード,N,keep_nan_candidate,欠損なし - 完全データ,high
is_turf_sprint,int64,0,0.0,2,"0, 0, 0",芝スプリントフラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
is_turf_mile,int64,0,0.0,2,"0, 0, 0",芝マイルフラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
is_turf_intermediate,int64,0,0.0,2,"0, 0, 0",芝中距離フラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
is_turf_long,int64,0,0.0,2,"0, 0, 0",芝長距離フラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
is_dirt_sprint,int64,0,0.0,2,"1, 1, 1",ダートスプリントフラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
is_dirt_mile,int64,0,0.0,2,"0, 0, 0",ダートマイルフラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
is_dirt_intermediate,int64,0,0.0,2,"0, 0, 0",ダート中距離フラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
is_good_track,int64,0,0.0,2,"1, 1, 1",良馬場フラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
is_soft_track,int64,0,0.0,2,"0, 0, 0",重馬場フラグ,N,keep_nan_candidate,欠損なし - 完全データ,high
wide_odds_1_2,float64,435,0.96,1726,"0.68, 0.68, 0.68",ワイドオッズ 馬番1-2,A,keep_nan_candidate,"レース頭数に応じて自然にNaN (出走頭数<max(i,j))",high
wide_odds_1_3,float64,382,0.84,1783,"6.1, 6.1, 6.1",ワイドオッズ 馬番1-3,A,keep_nan_candidate,"レース頭数に応じて自然にNaN (出走頭数<max(i,j))",high
wide_odds_1_4,float64,389,0.86,1778,"1.77, 1.77, 1.77",ワイドオッズ 馬番1-4,A,keep_nan_candidate,"レース頭数に応じて自然にNaN (出走頭数<max(i,j))",high
wide_odds_1_5,float64,337,0.74,1809,"2.01, 2.01, 2.01",ワイドオッズ 馬番1-5,A,keep_nan_candidate,"レース頭数に応じて自然にNaN (出走頭数<max(i,j))",high
wide_odds_1_6,float64,402,0.88,1820,"0.67, 0.67, 0.67",ワイドオッズ 馬番1-6,A,keep_nan_candidate,"レース頭数に応じて自然にNaN (出走頭数<max(i,j))",high
wide_odds_1_7,float64,486,1.07,1793,"1.38, 1.38, 1.38",ワイドオッズ 馬番1-7,A,keep_nan_candidate,"レース頭数に応じて自然にNaN (出走頭数<max(i,j))",high
wide_odds_1_8,float64,862,1.9,1805,"29.57, 29.57, 29.57",ワイドオッズ 馬番1-8,A,keep_nan_candidate,"レース頭数に応じて自然にNaN (出走頭数<max(i,j))",high
wide_odds_1_9,float64,1736,3.82,1818,"11.54, 11.54, 11.54",ワイドオッズ 馬番1-9,A,keep_nan_candidate,"レース頭数に応じて自然にNaN (出走頭数<max(i,j))",high
wide_odds_1_10,float64,3185,7.01,1793,"14.29, 14.29, 14.29",ワイドオッズ 馬番1-10,A,keep_nan_candidate,"レース頭数に応じて自然にNaN (出走頭数<max(i,j))",high
wide_odds_1_11,float64,5236,11.52,1756,"21.36, 21.36, 21.36",ワイドオッズ 馬番1-11,A,keep_nan_candidate,"レース頭数に応じて自然にNaN (出走頭数<max(i,j))",high
wide_odds_1_12,float64,7631,16.79,1673,"71.13, 71.13, 71.13",ワイドオッズ 馬番1-12,A,keep_nan_candidate,"レース頭数に応じて自然にNaN (出走頭数<max(i,j))",high
wide_odds_1_13,float64,10873,23.93,1629,"14.74, 14.74, 14.74",ワイドオッズ 馬番1-13,A,keep_nan_candidate,"レース頭数に応じて自然にNaN (出走頭数<max(i,j))",high
